issue,polviews,verb_ab,id,quest,answer,arg,counter_arg,exposure,belief_before,belief_now
abany,liberal,high,798,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,8,8,0,55,70
abany,liberal,high,906,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|8,5,1,25,15
abany,liberal,high,114,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|1|0|6,8,0,30,60
abany,liberal,high,785,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7|5|8,6|0|4,1,10,20
abany,liberal,high,915,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|7|5|1,6|0|5|3|1|2|4,1,50,60
abany,liberal,high,51,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|3|6|0,1,20,60
abany,liberal,high,788,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,7|3|4,0,25,50
abany,liberal,high,27,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|8,6,0,20,65
abany,liberal,high,120,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7,0|4|6,1,10,60
abany,liberal,high,925,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,0|6,0,30,50
abany,liberal,high,667,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,8,4,0,55,45
abany,liberal,high,273,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,4|6,1,25,65
abany,liberal,high,111,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6|7,3|0|6|4|8,1,90,40
abany,liberal,high,20,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,8,3,1,20,75
abany,liberal,high,483,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7|5,6|1|4,1,10,45
abany,liberal,high,247,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,7|8,8,1,30,40
abany,liberal,high,347,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5|8,1|6,0,70,55
