id,group,aff,strength,polviews_cat,age,sex,edu,wordsum,wordsum_cat,sci_knowledge,sci_kn_cat,oth_att,oth_att_cat
396,1,cons,reg,cons,20,male,<bach,3,lower,3,mid,0.4166666666666667,lower
887,1,cons,reg,cons,45,female,bach,3,lower,3,mid,0.5,lower
446,1,cons,reg,cons,22,female,<bach,3,lower,2,lower,0.3333333333333333,lower
546,1,cons,reg,cons,31,male,<bach,3,lower,5,higher,0.5,lower
205,1,cons,reg,cons,34,male,<bach,3,lower,3,mid,0.5833333333333334,lower
46,1,cons,reg,cons,23,male,<bach,4,lower,5,higher,0.75,mid
868,1,cons,reg,cons,61,male,<bach,5,lower,4,mid,0.5833333333333334,lower
267,1,cons,reg,cons,34,male,bach,5,lower,2,lower,0.75,mid
950,1,cons,reg,cons,30,female,<bach,5,lower,3,mid,0.6666666666666666,mid
806,1,cons,reg,cons,49,male,<bach,5,lower,3,mid,0.75,mid
462,1,cons,reg,cons,64,male,grad,5,lower,4,mid,0.8333333333333334,higher
16,1,cons,reg,cons,32,male,<bach,5,lower,3,mid,0.75,mid
690,1,cons,reg,cons,35,male,bach,5,lower,4,mid,0.3333333333333333,lower
208,1,cons,reg,cons,45,female,bach,6,lower,3,mid,0.5833333333333334,lower
304,1,cons,reg,cons,36,female,<bach,6,lower,4,mid,0.6666666666666666,mid
292,1,cons,reg,cons,49,female,<bach,6,lower,4,mid,1,higher
542,1,cons,reg,cons,69,male,bach,6,lower,4,mid,1,higher
640,1,cons,reg,cons,26,female,<bach,6,lower,4,mid,0.9166666666666666,higher
932,1,cons,reg,cons,37,female,grad,6,lower,4,mid,0.8333333333333334,higher
106,1,cons,reg,cons,40,female,<bach,6,lower,4,mid,0.6666666666666666,mid
711,1,cons,reg,cons,44,male,<bach,6,lower,3,mid,0.6666666666666666,mid
694,1,cons,reg,cons,43,female,<bach,6,lower,2,lower,0.5833333333333334,lower
954,1,cons,reg,cons,34,male,<bach,6,lower,2,lower,0.9166666666666666,higher
91,1,cons,reg,cons,25,female,bach,6,lower,2,lower,0.4166666666666667,lower
696,1,cons,reg,cons,54,female,<bach,6,lower,4,mid,0.75,mid
555,1,cons,reg,cons,48,female,<bach,6,lower,3,mid,0.75,mid
212,1,cons,reg,cons,34,female,bach,6,lower,3,mid,0.5833333333333334,lower
170,1,cons,reg,cons,44,female,<bach,6,lower,4,mid,0.9166666666666666,higher
692,1,cons,reg,cons,30,male,bach,6,lower,4,mid,0.8333333333333334,higher
914,1,cons,reg,cons,47,female,<bach,6,lower,2,lower,0.16666666666666666,lower
675,1,cons,reg,cons,57,female,bach,6,lower,5,higher,0.5833333333333334,lower
940,1,cons,reg,cons,58,female,grad,6,lower,2,lower,0.75,mid
965,1,cons,reg,cons,66,female,bach,6,lower,4,mid,0.75,mid
171,1,cons,reg,cons,38,female,bach,6,lower,4,mid,0.4166666666666667,lower
891,1,cons,reg,cons,53,female,<bach,6,lower,4,mid,0.75,mid
548,1,cons,reg,cons,46,male,<bach,7,lower,5,higher,0.5,lower
43,1,cons,reg,cons,43,female,bach,7,lower,5,higher,0.5,lower
421,1,cons,reg,cons,56,female,bach,7,lower,4,mid,0,lower
898,1,cons,reg,cons,42,male,grad,7,lower,4,mid,0.6666666666666666,mid
44,1,cons,reg,cons,48,male,grad,7,lower,3,mid,0.5,lower
447,1,cons,reg,cons,32,male,bach,7,lower,3,mid,0.8333333333333334,higher
619,1,cons,reg,cons,45,female,<bach,7,lower,2,lower,0.6666666666666666,mid
688,1,cons,reg,cons,37,male,grad,7,lower,4,mid,0.25,lower
707,1,cons,reg,cons,37,male,<bach,7,lower,4,mid,0.6666666666666666,mid
397,1,cons,reg,cons,47,female,bach,7,lower,3,mid,0.3333333333333333,lower
168,1,cons,reg,cons,28,female,<bach,7,lower,5,higher,0.6666666666666666,mid
681,1,cons,reg,cons,50,female,<bach,7,lower,2,lower,0.6666666666666666,mid
249,1,cons,reg,cons,48,female,<bach,7,lower,3,mid,1,higher
101,1,cons,reg,cons,45,female,bach,7,lower,5,higher,0.75,mid
506,1,cons,reg,cons,48,female,<bach,7,lower,4,mid,0.9166666666666666,higher
